--- INICIO DA VALIDACAO DA REDE NEURAL ---

CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8306 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8313 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8312 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8293 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8314 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8314 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8313 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8312 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8306 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8306 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8318 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8306 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8312 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8309 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8308 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8309 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8312 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8308 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8293 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8314 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8290 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8294 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8293 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8309 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8289 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8309 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8316 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8308 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8309 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8290 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8293 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8308 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8294 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8314 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8293 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8314 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8296 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8310 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8292 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8307 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8291 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8306 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8294 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8309 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8316 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8295 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8313 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8299 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8316 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8313 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8311 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8298 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8317 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8316 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8304 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8300 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8314 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8302 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8297 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8313 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8301 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8306 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8318 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8305 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8315 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
CPU 0 | Predicao NN: 0.8303 | Real (Label): 1.0 | [ACERTO] Ataque detectado corretamente!
